State Agency or Indian Tribal Organization,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,Cumulative Cost
Connecticut,985593.0,1064295.0,2047132.0,18766.0,1135145.0,1010025.0,939442.0,1122093.0,1041154.0,1086244.0,0.0,2289144.0,12739033
Maine,631619.0,,,1375917.0,33609.0,736394.0,6330.0,330078.0,727858.0,0.0,356022.0,739540.0,4937367
Massachusetts,2029146.0,1874395.0,2074880.0,1976701.0,2021460.0,2028698.0,1868847.0,2013911.0,1933106.0,1982977.0,2088369.0,2078476.0,23970966
New Hampshire,266137.0,251401.0,268634.0,190804.0,292784.0,231905.0,279871.0,264911.0,239478.0,236833.0,224555.0,266478.0,3013791
New York,7964244.0,8634969.0,8387302.0,7851062.0,9144693.0,7990379.0,7882392.0,9193096.0,7819964.0,8425827.0,9060377.0,8520563.0,100874868
Rhode Island,457101.0,411377.0,432528.0,447813.0,391968.0,456128.0,431536.0,387985.0,462088.0,454063.0,416161.0,439011.0,5187759
Vermont,8554.0,14764.0,23948.0,34767.0,40518.0,54990.0,73770.0,78428.0,78758.0,79185.0,79942.0,80741.0,648365
"Indian Township, ME",,,,,,,,,,,,, 
"Pleasant Point, ME",,,,,,,,,,,,, 
"Seneca Nation, NY",4200.0,4514.0,4344.0,4432.0,4073.0,3990.0,4263.0,4327.0,4321.0,5341.0,4743.0,5006.0,53554
Delaware,418355.0,415634.0,363550.0,21220.0,823986.0,403880.0,446926.0,374839.0,397436.0,0.0,459255.0,797049.0,4922130
District of Columbia,330368.0,467896.0,316122.0,401526.0,313863.0,315603.0,344576.0,57174.0,561569.0,48280.0,395627.0,418367.0,3970971
Maryland,4529090.0,437280.0,2265815.0,2504451.0,2727619.0,4383982.0,341079.0,2635684.0,2264655.0,2393191.0,2527899.0,2274827.0,29285572
New Jersey,2696991.0,2887557.0,2867106.0,2623044.0,3062323.0,2681336.0,2668733.0,2944748.0,2599911.0,2652718.0,2976554.0,2755206.0,33416227
Pennsylvania,0.0,4892162.0,4803088.0,9630377.0,4858905.0,9347688.0,0.0,4633818.0,9341760.0,0.0,9155124.0,,56662922
Puerto Rico,1577296.0,1332670.0,1590974.0,1274893.0,1357738.0,1454881.0,1251014.0,1342215.0,1304235.0,1195630.0,1332367.0,1160492.0,16174405
Virginia,0.0,2694050.0,5343348.0,0.0,2562280.0,5321845.0,0.0,5059957.0,2492578.0,0.0,2628147.0,2524639.0,28626844
Virgin Islands,67673.0,61985.0,59760.0,17387.0,100051.0,31611.0,105251.0,28253.0,127089.0,,131749.0,68112.0,798921
West Virginia,0.0,928899.0,1560178.0,922293.0,855968.0,789886.0,64956.0,872493.0,757629.0,840849.0,887062.0,826136.0,9306349
Alabama,4843548.0,0.0,4788273.0,2549052.0,2379900.0,2257115.0,2664956.0,2293875.0,2322843.0,2530138.0,2278291.0,2470288.0,31378279
Florida,10282366.0,9830252.0,10283416.0,9811364.0,10301933.0,10157844.0,9509839.0,10326330.0,9854040.0,10099796.0,10480190.0,10678856.0,121616226
Georgia,5173538.0,5596046.0,5566061.0,5057234.0,5958954.0,5381828.0,5470939.0,6025712.0,5115742.0,5445522.0,5737624.0,5145481.0,65674681
Kentucky,4969058.0,2387983.0,360.0,4764299.0,2441605.0,2400199.0,2236579.0,2445704.0,2317401.0,2379495.0,0.0,2307190.0,28649873
Mississippi,,,,,,,,,,,,, 
North Carolina,4675776.0,5122838.0,5259186.0,6495958.0,5408693.0,4379403.0,4309986.0,5429544.0,4229673.0,4392195.0,5046148.0,4270831.0,59020231
South Carolina,2367556.0,466296.0,4299448.0,2310486.0,1042095.0,3037859.0,2814192.0,2322465.0,2233857.0,2240413.0,1373565.0,3053817.0,27562049
Tennessee,0.0,3642178.0,3654615.0,7223567.0,3490786.0,3491567.0,3500509.0,0.0,6898426.0,0.0,3469767.0,3403184.0,38774599
"Choctaw Indians, MS",,,,,,,,,,,,, 
"Eastern Cherokee, NC",9547.0,9963.0,8332.0,11704.0,9984.0,6443.0,8342.0,10380.0,7375.0,8805.0,8796.0,8477.0,108148
Illinois,5223211.0,6165054.0,6190306.0,5101541.0,5645262.0,5255558.0,6003234.0,5988901.0,5969190.0,5406525.0,6038651.0,5504332.0,68491765
Indiana,3085782.0,3216996.0,3320055.0,3312677.0,3685039.0,3243424.0,3114459.0,3600095.0,3103634.0,3173369.0,3406783.0,3116919.0,39379232
Michigan,4816049.0,4736046.0,4604449.0,4806745.0,4507985.0,4728160.0,4674760.0,4216909.0,4705923.0,4426141.0,4495987.0,4697295.0,55416449
Minnesota,2094546.0,2292311.0,2170080.0,2168476.0,2413388.0,2105358.0,2041652.0,2407269.0,2044066.0,2094575.0,2202491.0,2174281.0,26208493
Ohio,4890203.0,10410977.0,4979256.0,221091.0,4918087.0,4687389.0,4755399.0,9278367.0,4808552.0,4691274.0,4630238.0,206014.0,58476847
Wisconsin,1809436.0,1865966.0,1878944.0,1817910.0,1852145.0,2063067.0,1918258.0,2016973.0,0.0,3991527.0,1973806.0,1989014.0,23177046
Arkansas,2107258.0,2095289.0,2055619.0,2063917.0,2050894.0,2017489.0,1996350.0,2007144.0,1965712.0,1974161.0,1986728.0,1934360.0,24254921
Louisiana,3201227.0,3278793.0,3377241.0,3292901.0,2824882.0,3290023.0,3254051.0,3317995.0,3183170.0,0.0,6830674.0,3378471.0,39229428
New Mexico,1003005.0,978006.0,1840662.0,904533.0,915763.0,0.0,1746363.0,0.0,883017.0,834322.0,834094.0,850142.0,10789907
Oklahoma,1758193.0,1671187.0,1955021.0,1658528.0,1788936.0,2004542.0,1539931.0,1992429.0,2184682.0,2045284.0,1497497.0,1310229.0,21406459
Texas,,,,,,,,,,,,, 
Texas,7883236.0,23665421.0,14541140.0,21563041.0,16008527.0,14756147.0,24458489.0,2634917.0,28819178.0,5935343.0,30624886.0,0.0,190890325
"Acoma, Canoncito & Laguna, NM",,,,,,,,,,,,, 
"Eight Northern Pueblos, NM",0.0,,,,,,,,,,,, 
"Five Sandoval Pueblos, NM",1415.0,0.0,4622.0,1600.0,0.0,2476.0,0.0,1044.0,1650.0,77.0,1181.0,2598.0,16663
"Isleta Pueblo, NM",13000.0,14233.0,12397.0,14769.0,14538.0,15029.0,13432.0,13496.0,14290.0,14565.0,15338.0,14997.0,170084
"San Felipe Pueblo, NM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,, 
"Santo Domingo Tribe, NM",,,,,,,,,,,,, 
"Zuni Pueblo, NM",0.0,0.0,2567.0,1992.0,2517.0,1543.0,1351.0,1975.0,2488.0,1480.0,2350.0,6872.0,25135
"Cherokee Nation, OK",297468.0,171294.0,159657.0,137297.0,0.0,336587.0,0.0,0.0,315396.0,137397.0,322875.0,149687.0,2027658
"Chickasaw Nation, OK",75791.0,75378.0,77116.0,153648.0,74636.0,81248.0,71642.0,78255.0,76717.0,81975.0,78317.0,81328.0,1006051
"Choctaw Nation, OK",76904.0,82245.0,79228.0,74953.0,88034.0,80710.0,72481.0,89364.0,83923.0,83069.0,94426.0,81792.0,987129
"Citizen Potawatomi Nation, OK",24643.0,28458.0,25731.0,22229.0,25719.0,23241.0,21998.0,27055.0,27001.0,24362.0,27139.0,28500.0,306076
"Inter-Tribal Council, OK",5721.0,6455.0,5932.0,5406.0,6460.0,5280.0,4821.0,6126.0,4956.0,4540.0,5109.0,5074.0,65880
"Muscogee Creek Nation, OK",50304.0,0.0,104870.0,47512.0,53840.0,50966.0,44881.0,53611.0,48341.0,45390.0,51303.0,45721.0,596739
"Osage Tribal Council, OK",,,,,,,,,,,,, 
"Otoe-Missouria Tribe, OK",10672.0,11017.0,0.0,11087.0,0.0,37852.0,9163.0,1417.0,9467.0,9344.0,10303.0,9198.0,119520
"Wichita, Caddo & Delaware (WCD), OK",79613.0,85488.0,86864.0,78778.0,86096.0,83305.0,76949.0,92048.0,81513.0,86356.0,92542.0,81705.0,1011257
Colorado,0.0,1360785.0,2757891.0,1334219.0,1380422.0,0.0,2624646.0,1342168.0,0.0,1270531.0,2715712.0,1398800.0,16185174
Iowa,2695694.0,1380054.0,1364018.0,1285169.0,1427689.0,1285781.0,1227467.0,1372627.0,1239567.0,1268506.0,1286884.0,1285236.0,17118692
Kansas,1158144.0,1209540.0,1176885.0,1153794.0,1327617.0,1146875.0,1088158.0,1264900.0,1095247.0,1100110.0,1207731.0,1087798.0,14016799
Missouri,5443303.0,0.0,5457196.0,2672187.0,2825095.0,2901042.0,2927471.0,3016974.0,2919711.0,2942384.0,3066205.0,0.0,34171568
Montana,316762.0,310801.0,17258.0,597479.0,312248.0,307346.0,319139.0,298703.0,622127.0,0.0,0.0,563677.0,3665540
Nebraska,649759.0,682550.0,1361246.0,0.0,712979.0,679721.0,747946.0,0.0,1518889.0,797853.0,807824.0,790165.0,8748932
North Dakota,216755.0,215670.0,220959.0,0.0,429341.0,0.0,222789.0,432817.0,0.0,454842.0,0.0,484462.0,2677635
South Dakota,300822.0,323527.0,293443.0,286046.0,324291.0,336207.0,321181.0,365907.0,332547.0,357878.0,0.0,724234.0,3966083
Utah,780907.0,808512.0,775971.0,765257.0,790931.0,757110.0,764625.0,790321.0,748256.0,751028.0,763317.0,701171.0,9197406
Wyoming,14153.0,174141.0,159479.0,183916.0,334273.0,175591.0,175231.0,13060.0,327893.0,12345.0,167342.0,322141.0,2059565
"Ute Mountain Ute Tribe, CO",,,,,,,,,,,,, 
"Omaha Sioux, NE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
"Santee Sioux, NE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
"Winnebago Tribe, NE",0.0,,0.0,,,,,,,,,, 
"Standing Rock Sioux Tribe, ND",4120.0,5509.0,6062.0,6374.0,3444.0,3735.0,4163.0,5252.0,4490.0,6905.0,4216.0,3743.0,58013
"Three Affiliated Tribes, ND",,,,,,,,,,,,, 
"Cheyenne River Sioux, SD",5588.0,5219.0,5508.0,5620.0,5332.0,5384.0,5347.0,5174.0,0.0,0.0,0.0,0.0,43172
"Rosebud Sioux, SD",24799.0,5331.0,23531.0,10165.0,17674.0,12705.0,19434.0,6760.0,21227.0,0.0,16429.0,5838.0,163893
"Northern Arapahoe, WY",,,,,,,,,,,,, 
"Shoshone Tribe, WY",0.0,,,,,,,,,,,, 
Mountain Plains,11610806.0,6481639.0,13619447.0,8300226.0,9891336.0,7611497.0,10447597.0,8914663.0,8829954.0,8962382.0,10035660.0,7367265.0,112072472
Alaska,0.0,423358.0,37669.0,406137.0,473622.0,218026.0,36226.0,223042.0,187568.0,212666.0,227579.0,455586.0,2901479
American Samoa,76927.0,81038.0,0.0,71486.0,144636.0,73508.0,78238.0,86385.0,72699.0,75316.0,83750.0,74319.0,918302
Arizona,3105508.0,3428319.0,5977717.0,216861.0,3333242.0,3023033.0,3068562.0,3397026.0,6009663.0,0.0,3281225.0,2908983.0,37750139
California,17773444.0,18431638.0,18391780.0,16888007.0,19033005.0,17560231.0,16913407.0,17899894.0,17743739.0,18421426.0,19300927.0,18168665.0,216526163
Guam,132271.0,141102.0,142382.0,132434.0,152946.0,139259.0,141346.0,155136.0,138438.0,141631.0,148260.0,139774.0,1704979
Hawaii,456472.0,497495.0,450765.0,952629.0,37002.0,890082.0,508999.0,0.0,448245.0,526436.0,504367.0,456446.0,5728938
Idaho,585016.0,592220.0,587779.0,566108.0,628855.0,1000752.0,54017.0,551490.0,1027488.0,51917.0,545131.0,1007471.0,7198244
Nevada,1335353.0,1286585.0,1328759.0,1248052.0,1335885.0,1311097.0,1194099.0,1337791.0,1252493.0,1279767.0,1223974.0,1276723.0,15410578
Oregon,1165375.0,1241454.0,982266.0,1142111.0,1243072.0,1013131.0,1167696.0,1222837.0,1283014.0,1184865.0,1164151.0,1073893.0,13883865
Washington,1915412.0,2009492.0,1978441.0,1751449.0,2044524.0,1893638.0,1773035.0,2039885.0,1778437.0,1810871.0,1962179.0,1773801.0,22731164
Northern Marianas,33451.0,51520.0,40805.0,46358.0,87848.0,44618.0,0.0,51939.0,92834.0,128.0,45365.0,41616.0,536482
"Inter-Tribal Council, AZ",170426.0,348096.0,156372.0,203506.0,179548.0,160264.0,188587.0,174130.0,169059.0,8162.0,198893.0,168547.0,2125590
"Navajo Nation, AZ",,,80877.0,127062.0,136167.0,240442.0,2909.0,132373.0,113670.0,118810.0,118895.0,240639.0,1311844
"Inter-Tribal Council, NV",1398.0,25414.0,48592.0,26857.0,1090.0,52036.0,1038.0,0.0,56006.0,14844.0,22483.0,48473.0,298231
