State Agency or Indian Tribal Organization,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,Average Participation
Connecticut,12821.0,12540.0,12629.0,12554.0,12148.0,12634.0,12520.0,13047.0,12998.0,12844.0,12978.0,12949.0,12721.833333333334
Maine,4979.0,4952.0,4926.0,4940.0,4855.0,4886.0,4842.0,4839.0,4835.0,4792.0,4882.0,4807.0,4877.916666666667
Massachusetts,25641.0,25507.0,25567.0,25581.0,25325.0,25636.0,25545.0,25541.0,25484.0,25209.0,25421.0,25286.0,25478.583333333332
New Hampshire,3572.0,3413.0,3407.0,3342.0,3301.0,3402.0,3333.0,3350.0,3343.0,3347.0,3320.0,3118.0,3354
New York,107518.0,106836.0,105869.0,105654.0,105147.0,105364.0,104728.0,104646.0,103952.0,102806.0,103419.0,103203.0,104928.5
Rhode Island,5216.0,5140.0,5164.0,5110.0,5014.0,5192.0,5068.0,5081.0,5072.0,4925.0,4986.0,4938.0,5075.5
Vermont,2506.0,2542.0,2549.0,2523.0,2495.0,2448.0,2483.0,2463.0,2449.0,2440.0,2423.0,2394.0,2476.25
"Indian Township, ME",15.0,17.0,14.0,12.0,13.0,11.0,14.0,10.0,11.0,11.0,11.0,8.0,12.25
"Pleasant Point, ME",16.0,15.0,17.0,14.0,11.0,11.0,9.0,11.0,9.0,11.0,15.0,15.0,12.833333333333334
"Seneca Nation, NY",59.0,58.0,65.0,61.0,58.0,54.0,58.0,61.0,57.0,64.0,64.0,59.0,59.833333333333336
Delaware,5105.0,5029.0,5029.0,5050.0,4984.0,5023.0,5052.0,5012.0,4948.0,4987.0,4981.0,5001.0,5016.75
District of Columbia,4122.0,4212.0,4259.0,4165.0,4117.0,4211.0,4192.0,4161.0,4189.0,4162.0,4278.0,4294.0,4196.833333333333
Maryland,34294.0,33878.0,33851.0,33259.0,33356.0,33558.0,33491.0,33323.0,33420.0,33121.0,33267.0,32979.0,33483.083333333336
New Jersey,36378.0,35775.0,35926.0,35416.0,35276.0,35606.0,35382.0,35356.0,35364.0,35202.0,35445.0,35378.0,35542
Pennsylvania,65129.0,64706.0,64276.0,63570.0,63392.0,63398.0,63005.0,62556.0,62438.0,61671.0,62180.0,61983.0,63192
Puerto Rico,28267.0,27523.0,27481.0,27072.0,26768.0,26503.0,26225.0,25867.0,26038.0,25364.0,25934.0,25602.0,26553.666666666668
Virginia,36824.0,36125.0,35953.0,35086.0,34903.0,35455.0,35317.0,35281.0,35207.0,34984.0,35218.0,35005.0,35446.5
Virgin Islands,980.0,977.0,955.0,977.0,985.0,971.0,986.0,986.0,964.0,962.0,952.0,933.0,969
West Virginia,10739.0,10606.0,10652.0,10514.0,10508.0,10621.0,10564.0,10432.0,10464.0,10420.0,10464.0,10495.0,10539.916666666666
Alabama,34991.0,34662.0,34454.0,34372.0,34247.0,34303.0,34120.0,34080.0,34355.0,34139.0,34254.0,34196.0,34347.75
Florida,121181.0,119766.0,119276.0,119040.0,118292.0,119614.0,118964.0,118768.0,118925.0,118954.0,119122.0,118049.0,119162.58333333333
Georgia,65555.0,64350.0,63080.0,55660.0,56052.0,56886.0,55609.0,55022.0,54346.0,54015.0,54543.0,53963.0,57423.416666666664
Kentucky,29924.0,29650.0,29516.0,29293.0,29284.0,29671.0,29380.0,29376.0,29428.0,29052.0,29500.0,29319.0,29449.416666666668
Mississippi,25623.0,25350.0,24866.0,24643.0,24608.0,24781.0,24435.0,24429.0,24631.0,24360.0,24595.0,24565.0,24740.5
North Carolina,61527.0,60922.0,60815.0,60058.0,59584.0,59441.0,58952.0,59228.0,59423.0,59093.0,59539.0,59280.0,59821.833333333336
South Carolina,31337.0,31198.0,30902.0,30559.0,30485.0,30755.0,30352.0,30151.0,30256.0,30164.0,30444.0,30126.0,30560.75
Tennessee,42187.0,41500.0,41229.0,40625.0,40397.0,40705.0,40600.0,40519.0,40732.0,40433.0,40906.0,40866.0,40891.583333333336
"Choctaw Indians, MS",192.0,181.0,176.0,177.0,179.0,171.0,165.0,174.0,164.0,162.0,171.0,171.0,173.58333333333334
"Eastern Cherokee, NC",136.0,135.0,123.0,127.0,124.0,128.0,128.0,135.0,129.0,129.0,132.0,129.0,129.58333333333334
Illinois,65607.0,64400.0,64202.0,63844.0,63089.0,63748.0,62962.0,62756.0,62931.0,62013.0,63011.0,62458.0,63418.416666666664
Indiana,38831.0,38424.0,38243.0,38264.0,37719.0,37868.0,37459.0,37379.0,37520.0,37354.0,37860.0,38043.0,37913.666666666664
Michigan,60024.0,59450.0,58705.0,58769.0,58242.0,58467.0,58135.0,58048.0,57866.0,57976.0,57930.0,57569.0,58431.75
Minnesota,26462.0,26242.0,26283.0,26034.0,25811.0,26174.0,26048.0,26047.0,26101.0,25824.0,26133.0,26028.0,26098.916666666668
Ohio,70627.0,70103.0,76377.0,75123.0,74698.0,74602.0,73957.0,73865.0,74395.0,73591.0,74838.0,75026.0,73933.5
Wisconsin,24853.0,24589.0,24544.0,24388.0,24115.0,24241.0,24212.0,24188.0,24145.0,23859.0,24126.0,24097.0,24279.75
Arkansas,23523.0,23436.0,23498.0,23192.0,23056.0,23343.0,23069.0,23084.0,23153.0,22939.0,23135.0,22916.0,23195.333333333332
Louisiana,37986.0,37716.0,37601.0,37539.0,37597.0,37388.0,36982.0,37149.0,37265.0,36906.0,37251.0,36839.0,37351.583333333336
New Mexico,12186.0,12210.0,12022.0,12057.0,11899.0,11696.0,11464.0,11502.0,11924.0,11839.0,11989.0,11988.0,11898
Oklahoma,21604.0,21222.0,20967.0,20969.0,20862.0,21057.0,20775.0,20838.0,21247.0,21292.0,21506.0,21422.0,21146.75
Texas,,,,,,,,,,,,, 
Texas,219125.0,217335.0,216342.0,214535.0,213837.0,214687.0,212393.0,211801.0,213235.0,210830.0,212655.0,211773.0,214045.66666666666
"Acoma, Canoncito & Laguna, NM",86.0,84.0,87.0,91.0,83.0,81.0,84.0,91.0,84.0,80.0,77.0,79.0,83.91666666666667
"Eight Northern Pueblos, NM",48.0,57.0,64.0,63.0,65.0,64.0,64.0,66.0,64.0,64.0,67.0,68.0,62.833333333333336
"Five Sandoval Pueblos, NM",64.0,68.0,67.0,70.0,76.0,80.0,66.0,76.0,75.0,75.0,76.0,69.0,71.83333333333333
"Isleta Pueblo, NM",353.0,349.0,349.0,357.0,363.0,352.0,349.0,351.0,369.0,369.0,378.0,385.0,360.3333333333333
"San Felipe Pueblo, NM",58.0,62.0,62.0,58.0,68.0,69.0,68.0,64.0,63.0,64.0,70.0,70.0,64.66666666666667
"Santo Domingo Tribe, NM",36.0,42.0,39.0,39.0,36.0,41.0,41.0,42.0,34.0,33.0,37.0,37.0,38.083333333333336
"Zuni Pueblo, NM",115.0,101.0,97.0,83.0,91.0,92.0,98.0,91.0,100.0,99.0,97.0,90.0,96.16666666666667
"Cherokee Nation, OK",1919.0,1910.0,1924.0,1920.0,1871.0,1895.0,1845.0,1867.0,1971.0,1992.0,1997.0,1970.0,1923.4166666666667
"Chickasaw Nation, OK",907.0,913.0,915.0,921.0,935.0,920.0,964.0,987.0,982.0,980.0,993.0,1008.0,952.0833333333334
"Choctaw Nation, OK",908.0,909.0,898.0,928.0,928.0,940.0,973.0,1001.0,1000.0,1002.0,1030.0,1021.0,961.5
"Citizen Potawatomi Nation, OK",326.0,313.0,306.0,318.0,328.0,331.0,338.0,326.0,332.0,330.0,344.0,364.0,329.6666666666667
"Inter-Tribal Council, OK",200.0,188.0,185.0,181.0,177.0,173.0,173.0,172.0,168.0,182.0,179.0,181.0,179.91666666666666
"Muscogee Creek Nation, OK",607.0,608.0,627.0,631.0,625.0,622.0,599.0,580.0,583.0,571.0,561.0,584.0,599.8333333333334
"Osage Tribal Council, OK",877.0,855.0,864.0,870.0,879.0,902.0,911.0,897.0,875.0,854.0,896.0,892.0,881
"Otoe-Missouria Tribe, OK",129.0,122.0,105.0,124.0,124.0,112.0,112.0,110.0,112.0,107.0,122.0,119.0,116.5
"Wichita, Caddo & Delaware (WCD), OK",885.0,871.0,878.0,910.0,905.0,922.0,909.0,921.0,946.0,935.0,960.0,928.0,914.1666666666666
Colorado,21770.0,21343.0,21140.0,21069.0,21123.0,21174.0,20919.0,20833.0,20843.0,20618.0,20999.0,20979.0,21067.5
Iowa,16127.0,16013.0,15918.0,15793.0,15770.0,15987.0,15678.0,15589.0,15484.0,14933.0,14688.0,14883.0,15571.916666666666
Kansas,15412.0,15136.0,15218.0,15094.0,14967.0,14845.0,14889.0,14851.0,14890.0,14559.0,14921.0,13944.0,14893.833333333334
Missouri,36160.0,35678.0,35675.0,35260.0,34892.0,35023.0,34521.0,34199.0,34310.0,34065.0,34533.0,34322.0,34886.5
Montana,4558.0,4589.0,4637.0,4638.0,4628.0,4663.0,4578.0,4563.0,4574.0,4506.0,4585.0,4617.0,4594.666666666667
Nebraska,9127.0,9072.0,9110.0,9139.0,9020.0,9061.0,8930.0,8862.0,8919.0,8784.0,8907.0,8976.0,8992.25
North Dakota,2733.0,2741.0,2775.0,2795.0,2826.0,2837.0,2856.0,2855.0,2916.0,2878.0,2904.0,2904.0,2835
South Dakota,4178.0,4131.0,4146.0,4166.0,4128.0,4143.0,4150.0,4142.0,4114.0,4082.0,4174.0,4167.0,4143.416666666667
Utah,13633.0,13557.0,13291.0,13313.0,13429.0,13420.0,13322.0,13234.0,13236.0,12955.0,13052.0,13043.0,13290.416666666666
Wyoming,2440.0,2400.0,2429.0,2460.0,2492.0,2672.0,2614.0,2546.0,2555.0,2508.0,2519.0,2510.0,2512.0833333333335
"Ute Mountain Ute Tribe, CO",62.0,61.0,52.0,58.0,62.0,61.0,55.0,51.0,57.0,53.0,50.0,50.0,56
"Omaha Sioux, NE",59.0,52.0,57.0,53.0,53.0,53.0,50.0,52.0,50.0,61.0,68.0,68.0,56.333333333333336
"Santee Sioux, NE",24.0,27.0,27.0,32.0,31.0,36.0,38.0,35.0,36.0,34.0,35.0,36.0,32.583333333333336
"Winnebago Tribe, NE",64.0,63.0,62.0,66.0,58.0,61.0,63.0,64.0,65.0,68.0,73.0,62.0,64.08333333333333
"Standing Rock Sioux Tribe, ND",171.0,165.0,155.0,165.0,147.0,138.0,141.0,136.0,134.0,141.0,151.0,152.0,149.66666666666666
"Three Affiliated Tribes, ND",71.0,69.0,73.0,77.0,80.0,81.0,79.0,90.0,102.0,105.0,105.0,107.0,86.58333333333333
"Cheyenne River Sioux, SD",146.0,150.0,146.0,147.0,151.0,150.0,141.0,146.0,155.0,142.0,148.0,134.0,146.33333333333334
"Rosebud Sioux, SD",297.0,293.0,299.0,312.0,312.0,306.0,300.0,294.0,279.0,270.0,273.0,267.0,291.8333333333333
"Northern Arapahoe, WY",106.0,100.0,100.0,100.0,101.0,103.0,104.0,103.0,96.0,87.0,86.0,87.0,97.75
"Shoshone Tribe, WY",58.0,66.0,51.0,54.0,49.0,54.0,59.0,59.0,58.0,54.0,54.0,62.0,56.5
Mountain Plains,127196.0,125706.0,125361.0,124791.0,124319.0,124868.0,123487.0,122704.0,122873.0,120903.0,122325.0,121370.0,123825.25
Alaska,4468.0,4408.0,4368.0,4375.0,4339.0,4416.0,4412.0,4413.0,4468.0,4375.0,4358.0,4324.0,4393.666666666667
American Samoa,995.0,987.0,993.0,1010.0,1018.0,1016.0,983.0,986.0,985.0,968.0,960.0,993.0,991.1666666666666
Arizona,39206.0,38452.0,38429.0,38010.0,37506.0,37771.0,37536.0,37547.0,37364.0,36960.0,37470.0,37134.0,37782.083333333336
California,252010.0,245889.0,246168.0,245469.0,243268.0,244706.0,241790.0,241304.0,241271.0,238486.0,241742.0,239369.0,243456
Guam,1796.0,1761.0,1754.0,1768.0,1794.0,1826.0,1858.0,1802.0,1795.0,1779.0,1796.0,1785.0,1792.8333333333333
Hawaii,7046.0,7085.0,7138.0,7126.0,7141.0,7237.0,7156.0,7126.0,7096.0,7002.0,7179.0,7127.0,7121.583333333333
Idaho,9532.0,9410.0,9394.0,9289.0,9197.0,9228.0,9186.0,9064.0,8990.0,8907.0,8889.0,8786.0,9156
Nevada,17615.0,17252.0,17095.0,17122.0,17024.0,17115.0,17013.0,16962.0,17033.0,17040.0,17079.0,17013.0,17113.583333333332
Oregon,21176.0,20902.0,20755.0,20141.0,19614.0,19704.0,19786.0,19874.0,19971.0,19834.0,19984.0,19658.0,20116.583333333332
Washington,35955.0,35113.0,35243.0,34967.0,34614.0,35334.0,34816.0,34638.0,34973.0,34370.0,34836.0,34573.0,34952.666666666664
Northern Marianas,525.0,521.0,540.0,556.0,568.0,577.0,579.0,595.0,573.0,571.0,588.0,580.0,564.4166666666666
"Inter-Tribal Council, AZ",2225.0,2188.0,2240.0,2244.0,2187.0,2223.0,2219.0,2260.0,2319.0,2312.0,2330.0,2175.0,2243.5
"Navajo Nation, AZ",1945.0,1955.0,1923.0,1925.0,1814.0,1830.0,1759.0,1767.0,1797.0,1803.0,1813.0,1732.0,1838.5833333333333
"Inter-Tribal Council, NV",390.0,392.0,367.0,377.0,360.0,358.0,369.0,372.0,374.0,372.0,361.0,353.0,370.4166666666667
